Player Name,ID,2017,2018,2019,2020,2021,2022,2016
Kamran Akmal,ff077124,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi
Kamran Ghulam,35f4cf7e,NA,NA,NA,NA,NA,Lahore Qalandars,Islamabad United
Kashif Bhatti,e93f608d,Karachi Kings,NA,NA,NA,NA,NA,NA
KC Sangakkara,6b71e6cf,Karachi Kings,Multan Sultans,NA,NA,NA,NA,Quetta Gladiators
Khalid Latif,5eea345c,NA,NA,NA,NA,NA,NA,Islamabad United
Khalid Usman,e9ea5eb5,NA,Peshawar Zalmi,NA,NA,Peshawar Zalmi,Peshawar Zalmi,NA
Khurram Manzoor,82c78845,NA,Karachi Kings,NA,Quetta Gladiators,NA,NA,NA
Khurram Shahzad,27c5715d,NA,NA,NA,NA,Quetta Gladiators,Quetta Gladiators,NA
Khushdil Shah,fce581b5,Peshawar Zalmi,Peshawar Zalmi,NA,Multan Sultans,Multan Sultans,Multan Sultans,NA
KJ Abbott,a9da7784,NA,Lahore Qalandars,NA,NA,NA,NA,NA
KK Cooper,557153ca,NA,NA,NA,NA,NA,NA,Lahore Qalandars
KP Pietersen,39f01cdb,Quetta Gladiators,Quetta Gladiators,NA,NA,NA,NA,Quetta Gladiators
L Gregory,06c2de82,NA,NA,NA,Peshawar Zalmi,Islamabad United,Karachi Kings,NA
L Ronchi,0fa5042b,NA,Islamabad United,Islamabad United,Islamabad United,NA,NA,NA
L Wood,65b6943c,NA,NA,NA,NA,NA,Quetta Gladiators,NA
LA Dawson,4a461c24,NA,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,NA,Islamabad United,NA
LJ Evans,1c513d54,NA,NA,Multan Sultans,NA,NA,NA,NA
LJ Wright,cca50cd6,Quetta Gladiators,NA,NA,NA,NA,NA,Quetta Gladiators
LMP Simmons,89f64c19,NA,Karachi Kings,NA,NA,NA,NA,Karachi Kings
LS Livingstone,50c6bc2b,NA,NA,Karachi Kings,Peshawar Zalmi,NA,Peshawar Zalmi,NA
M de Lange,d4eef961,NA,NA,NA,NA,NA,Islamabad United,NA
Maaz Khan,73a0e5d8,NA,NA,NA,Lahore Qalandars,NA,NA,NA
Mahmudullah,bf1d7d3e,Quetta Gladiators,Quetta Gladiators,NA,NA,NA,NA,NA
MH Wessels,90f47cf2,NA,Peshawar Zalmi,Lahore Qalandars,NA,NA,NA,Karachi Kings
Mir Hamza,cb1a782a,Quetta Gladiators,Quetta Gladiators,NA,NA,NA,Karachi Kings,Karachi Kings
Misbah-ul-Haq,7eae4418,Islamabad United,Islamabad United,Peshawar Zalmi,NA,NA,NA,Islamabad United
MJ Guptill,2be41edb,NA,NA,NA,NA,Karachi Kings,NA,NA
MJ McClenaghan,51a3c5ef,NA,Lahore Qalandars,NA,Karachi Kings,NA,NA,NA
MM Ali,bb351c23,NA,NA,NA,Multan Sultans,NA,NA,NA
MN Samuels,f846de6a,Peshawar Zalmi,NA,NA,NA,NA,NA,NA
MN van Wyk,710dd98c,Quetta Gladiators,NA,NA,NA,NA,NA,NA
Mohammad Abbas,a089f93f,NA,NA,Multan Sultans,NA,NA,NA,NA
Mohammad Amir,e174dadd,Karachi Kings,Karachi Kings,Karachi Kings,Karachi Kings,Karachi Kings,NA,Karachi Kings
Mohammad Amir Khan,72f03be4,NA,NA,NA,Peshawar Zalmi,NA,NA,NA
Mohammad Asghar,574665e2,Peshawar Zalmi,Peshawar Zalmi,NA,NA,NA,NA,Peshawar Zalmi
Mohammad Hafeez,9ab63e7b,Peshawar Zalmi,Peshawar Zalmi,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Peshawar Zalmi
Mohammad Haris,ff3f6fc1,NA,NA,NA,NA,NA,Peshawar Zalmi,NA
Mohammad Hasnain,8596fe80,NA,NA,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,NA
Mohammad Huraira,9d2d03ef,NA,NA,NA,NA,NA,Islamabad United,NA
Mohammad Ilyas,bbfa0b42,NA,NA,Multan Sultans,Multan Sultans,Karachi Kings,Karachi Kings,NA
Mohammad Imran,65a2fff5,NA,NA,NA,Peshawar Zalmi,Peshawar Zalmi,Karachi Kings,NA
Mohammad Imran (2),687e20b3,NA,NA,NA,NA,Peshawar Zalmi,NA,NA
Mohammad Irfan,a8e3170f,Islamabad United,Multan Sultans,Multan Sultans,Multan Sultans,Peshawar Zalmi,Quetta Gladiators,Islamabad United
Mohammad Irfan (4),1bf9a8ef,Lahore Qalandars,Karachi Kings,Quetta Gladiators,NA,NA,NA,NA
Mohammad Irfan (5),32885b08,NA,NA,Multan Sultans,NA,NA,NA,NA
Mohammad Mohsin,79f8472d,NA,NA,NA,Peshawar Zalmi,NA,NA,NA
Mohammad Nabi,62af8546,NA,NA,NA,NA,Karachi Kings,Karachi Kings,Quetta Gladiators
Mohammad Nawaz,3086f7a4,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators
Mohammad Rizwan,2f26ac1a,Lahore Qalandars,Karachi Kings,Karachi Kings,Karachi Kings,Multan Sultans,Multan Sultans,Lahore Qalandars
Mohammad Sami,68ddabdb,Islamabad United,Islamabad United,Islamabad United,NA,NA,NA,Islamabad United
Mohammad Taha,3207b7d2,NA,NA,NA,NA,NA,Karachi Kings,NA
Mohammad Umar,feb6180d,NA,NA,NA,NA,Multan Sultans,Peshawar Zalmi,NA
Mohammad Wasim,9e9af5f2,NA,NA,NA,NA,Islamabad United,Islamabad United,NA
Mubasir Khan,7264b765,NA,NA,NA,NA,NA,Islamabad United,NA
Muhammad Akhlaq,9739e85c,NA,NA,NA,NA,Islamabad United,Islamabad United,NA
Muhammad Faizan,1574f3fe,NA,NA,NA,Lahore Qalandars,Lahore Qalandars,NA,NA
Muhammad Musa,9b8a3c39,NA,NA,Islamabad United,Islamabad United,Islamabad United,Islamabad United,NA
Mujeeb Ur Rahman,7d92277a,NA,NA,NA,NA,Peshawar Zalmi,NA,NA
Mukhtar Ahmed,456f6d99,NA,Karachi Kings,NA,NA,NA,NA,NA
Mushfiqur Rahim,a94e08ea,NA,NA,NA,NA,NA,NA,Karachi Kings
Mustafizur Rahman,0a8fce53,NA,Lahore Qalandars,NA,NA,NA,NA,NA
N Pooran,3241e3fd,Islamabad United,NA,NA,NA,NA,NA,NA
Nabi Gul,bcc154fa,NA,NA,Peshawar Zalmi,NA,NA,NA,NA
Najibullah Zadran,1212cbec,NA,NA,NA,NA,Karachi Kings,NA,NA
Naseem Shah,9c9af282,NA,NA,NA,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,NA
Nasir Nawaz,13dd482e,NA,NA,Islamabad United,NA,NA,Islamabad United,NA
Nauman Ali,54c58a5e,NA,NA,Multan Sultans,NA,NA,NA,NA
Nauman Anwar,d0540390,NA,NA,NA,NA,NA,NA,Karachi Kings
Naved Yasin,7bc1a2d1,NA,NA,NA,NA,NA,NA,Lahore Qalandars
NL McCullum,5673a3fc,NA,NA,NA,NA,NA,NA,Quetta Gladiators
NLTC Perera,0f12f9df,Quetta Gladiators,Quetta Gladiators,NA,NA,Karachi Kings,NA,NA
Noor Ahmad,efc04be7,NA,NA,NA,NA,Karachi Kings,Quetta Gladiators,NA
PD Salt,3d284ca3,NA,NA,Islamabad United,Islamabad United,Islamabad United,Lahore Qalandars,NA
PR Brown,1efd12d1,NA,NA,NA,NA,NA,Peshawar Zalmi,NA
PR Stirling,cf494ffe,NA,NA,NA,NA,Islamabad United,Islamabad United,NA
Qais Ahmad,8d5d991e,NA,NA,NA,NA,Quetta Gladiators,NA,NA
Qasim Akram,b6359668,NA,NA,NA,NA,Karachi Kings,Karachi Kings,NA
R Powell,650d5e49,NA,NA,NA,NA,Peshawar Zalmi,NA,NA
RA Whiteley,d346d939,NA,Multan Sultans,NA,NA,NA,NA,NA
Rafatullah Mohmand,9211d267,Islamabad United,NA,NA,NA,NA,NA,NA
Rahat Ali,a63775d6,NA,Quetta Gladiators,Lahore Qalandars,Peshawar Zalmi,NA,NA,NA
Rahmanullah Gurbaz,0bacade8,NA,NA,NA,NA,Multan Sultans,Islamabad United,NA
Raja Farzan,38d1def2,NA,NA,NA,Lahore Qalandars,NA,NA,NA
Rameez Raja (2),e191bf68,NA,Quetta Gladiators,NA,NA,NA,NA,NA
Rashid Khan,5f547c8b,NA,NA,NA,NA,Lahore Qalandars,Lahore Qalandars,NA
Raza Hasan,4f7279a4,NA,Lahore Qalandars,NA,NA,NA,NA,NA
Rizwan Hussain,3031bf83,NA,NA,Islamabad United,Islamabad United,NA,NA,NA
RN ten Doeschate,4ec07775,NA,NA,Lahore Qalandars,NA,NA,NA,Karachi Kings
Rohail Nazir,522bea89,NA,NA,NA,Multan Sultans,Islamabad United,Karachi Kings,NA
RR Emrit,e7de4f6b,Quetta Gladiators,NA,NA,NA,NA,NA,NA
RR Rossouw,cad00a4d,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Multan Sultans,Multan Sultans,Multan Sultans,NA
RS Bopara,7ca5e05d,Karachi Kings,Karachi Kings,Karachi Kings,Multan Sultans,Peshawar Zalmi,NA,Karachi Kings
Rumman Raees,1c790f4f,Islamabad United,Islamabad United,Islamabad United,Islamabad United,NA,Multan Sultans,Islamabad United
S Badree,76388dc8,Islamabad United,NA,NA,NA,NA,NA,Islamabad United
S Lamichhane,b410bd3d,NA,NA,Lahore Qalandars,NA,NA,NA,NA
S Mahmood,0f6db197,NA,NA,NA,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,NA
S Prasanna,f78e7113,NA,NA,NA,Lahore Qalandars,NA,NA,NA
Saad Ali,4cbf2e06,NA,NA,Lahore Qalandars,NA,NA,NA,NA
Saad Nasim,3fbb43a9,Quetta Gladiators,Peshawar Zalmi,NA,NA,NA,NA,NA
Sabbir Rahman,7147f314,NA,Peshawar Zalmi,NA,NA,NA,NA,NA
Saeed Ajmal,05d74535,Islamabad United,NA,NA,NA,NA,NA,Islamabad United
Sahibzada Farhan,1aba45cd,NA,Islamabad United,Islamabad United,NA,NA,Karachi Kings,NA
Saif Badar,e5d452d7,NA,Multan Sultans,NA,NA,NA,NA,NA
Saifullah Bangash,feb9238a,NA,NA,NA,NA,NA,NA,Karachi Kings
Saim Ayub,33609a8c,NA,NA,NA,NA,Quetta Gladiators,NA,NA
Salman Butt,4d6d6280,NA,NA,Lahore Qalandars,Lahore Qalandars,NA,NA,NA
Salman Irshad,30afc92b,NA,Lahore Qalandars,NA,Lahore Qalandars,NA,Peshawar Zalmi,NA
Salman Mirza,7ab1eab7,NA,NA,NA,NA,Lahore Qalandars,NA,NA
Sameen Gul,3be224b0,NA,Peshawar Zalmi,Peshawar Zalmi,NA,Peshawar Zalmi,Peshawar Zalmi,NA
Sarfraz Ahmed,2254ab79,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators,Quetta Gladiators
SE Rutherford,d014d5ac,NA,NA,NA,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,NA
Shadab Khan,9de62878,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Islamabad United,Islamabad United,NA
Shaheen Shah Afridi,45a7e761,NA,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,Lahore Qalandars,NA
Shahid Afridi,0dc00542,Peshawar Zalmi,Karachi Kings,Multan Sultans,Multan Sultans,Multan Sultans,Quetta Gladiators,Peshawar Zalmi
Shahid Yousuf,7298fa49,NA,NA,NA,NA,NA,NA,Peshawar Zalmi
Shahnawaz Dhani,7ccbb09f,NA,NA,NA,NA,Multan Sultans,Multan Sultans,NA
Shahzaib Hasan,fd201eb4,Karachi Kings,NA,NA,NA,NA,NA,Karachi Kings
Shakeel Ansar,21d6eb6a,NA,NA,Multan Sultans,NA,NA,NA,NA
Shakib Al Hasan,7dc35884,Peshawar Zalmi,NA,NA,NA,NA,NA,Karachi Kings
Shan Masood,6843a783,NA,NA,Multan Sultans,Multan Sultans,Multan Sultans,Multan Sultans,NA
Sharjeel Khan,193ef196,Islamabad United,NA,NA,Karachi Kings,Karachi Kings,Karachi Kings,Islamabad United
Shoaib Malik,64c34cd0,Karachi Kings,Multan Sultans,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,Peshawar Zalmi,Karachi Kings
Sikandar Raza,26d041c4,NA,NA,Karachi Kings,NA,NA,NA,NA
SM Ervine,556302a7,Quetta Gladiators,NA,NA,NA,NA,NA,NA
SO Hetmyer,48a1d7b7,NA,NA,NA,NA,Multan Sultans,NA,NA
