Player1,Player2,Matches
Asad Shafiq,SR Watson,0.14285714285714285
SR Watson,Asad Shafiq,0.1111111111111111
Asad Shafiq,Shadab Khan,0.14285714285714285
Shadab Khan,Asad Shafiq,0.125
Asad Shafiq,Zohaib Khan,0.14285714285714285
Zohaib Khan,Asad Shafiq,1.0
KP Pietersen,Mohammad Sami,0.1111111111111111
Mohammad Sami,KP Pietersen,0.1111111111111111
Mahmudullah,Mohammad Irfan,0.16666666666666666
Mohammad Irfan,Mahmudullah,0.125
Mahmudullah,Mohammad Sami,0.16666666666666666
Mohammad Sami,Mahmudullah,0.1111111111111111
Mahmudullah,Rumman Raees,0.16666666666666666
Rumman Raees,Mahmudullah,0.14285714285714285
Mahmudullah,SR Watson,0.16666666666666666
SR Watson,Mahmudullah,0.1111111111111111
Mahmudullah,Shadab Khan,0.16666666666666666
Shadab Khan,Mahmudullah,0.125
NLTC Perera,Mohammad Sami,0.16666666666666666
Mohammad Sami,NLTC Perera,0.1111111111111111
NLTC Perera,Rumman Raees,0.16666666666666666
Rumman Raees,NLTC Perera,0.14285714285714285
NLTC Perera,SR Watson,0.16666666666666666
SR Watson,NLTC Perera,0.1111111111111111
RR Rossouw,Mohammad Irfan,0.1111111111111111
Mohammad Irfan,RR Rossouw,0.125
RR Rossouw,Mohammad Sami,0.1111111111111111
Mohammad Sami,RR Rossouw,0.1111111111111111
RR Rossouw,SR Watson,0.1111111111111111
SR Watson,RR Rossouw,0.1111111111111111
RR Rossouw,Shadab Khan,0.1111111111111111
Shadab Khan,RR Rossouw,0.125
Sarfraz Ahmed,Rumman Raees,0.1
Rumman Raees,Sarfraz Ahmed,0.14285714285714285
Sarfraz Ahmed,SR Watson,0.1
SR Watson,Sarfraz Ahmed,0.1111111111111111
Sarfraz Ahmed,Shadab Khan,0.1
Shadab Khan,Sarfraz Ahmed,0.125
Sarfraz Ahmed,Zohaib Khan,0.1
Zohaib Khan,Sarfraz Ahmed,1.0
BB McCullum,Imad Wasim,0.25
Imad Wasim,BB McCullum,0.3
BB McCullum,Mohammad Amir,0.25
Mohammad Amir,BB McCullum,0.3
Fakhar Zaman,Imad Wasim,0.25
Imad Wasim,Fakhar Zaman,0.3
Fakhar Zaman,Mohammad Amir,0.25
Mohammad Amir,Fakhar Zaman,0.3
Fakhar Zaman,RS Bopara,0.125
RS Bopara,Fakhar Zaman,0.1
Fakhar Zaman,Sohail Khan,0.25
Sohail Khan,Fakhar Zaman,0.3333333333333333
Fakhar Zaman,Usama Mir,0.125
Usama Mir,Fakhar Zaman,0.125
Fakhar Zaman,Usman Shinwari,0.25
Usman Shinwari,Fakhar Zaman,0.375
GD Elliott,Imad Wasim,0.14285714285714285
Imad Wasim,GD Elliott,0.1
GD Elliott,Mohammad Amir,0.14285714285714285
Mohammad Amir,GD Elliott,0.1
GD Elliott,Sohail Khan,0.14285714285714285
Sohail Khan,GD Elliott,0.1111111111111111
GD Elliott,Usama Mir,0.2857142857142857
Usama Mir,GD Elliott,0.375
GD Elliott,Usman Shinwari,0.14285714285714285
Usman Shinwari,GD Elliott,0.125
JJ Roy,Imad Wasim,0.2
Imad Wasim,JJ Roy,0.1
JJ Roy,Mohammad Amir,0.2
Mohammad Amir,JJ Roy,0.1
JJ Roy,Sohail Khan,0.2
Sohail Khan,JJ Roy,0.1111111111111111
JJ Roy,Usman Shinwari,0.2
Usman Shinwari,JJ Roy,0.125
Mohammad Irfan (4),Mohammad Amir,0.14285714285714285
Mohammad Amir,Mohammad Irfan (4),0.1
Mohammad Rizwan,Imad Wasim,0.125
Imad Wasim,Mohammad Rizwan,0.1
Mohammad Rizwan,Mohammad Amir,0.25
Mohammad Amir,Mohammad Rizwan,0.3
Mohammad Rizwan,RS Bopara,0.125
RS Bopara,Mohammad Rizwan,0.1
Mohammad Rizwan,Sohail Khan,0.25
Sohail Khan,Mohammad Rizwan,0.3333333333333333
Mohammad Rizwan,Usama Mir,0.25
Usama Mir,Mohammad Rizwan,0.375
Mohammad Rizwan,Usman Shinwari,0.25
Usman Shinwari,Mohammad Rizwan,0.375
SP Narine,Mohammad Amir,0.125
Mohammad Amir,SP Narine,0.1
SP Narine,Sohail Khan,0.125
Sohail Khan,SP Narine,0.1111111111111111
SP Narine,Usman Shinwari,0.125
Usman Shinwari,SP Narine,0.125
Sohail Tanvir,Mohammad Amir,0.25
Mohammad Amir,Sohail Tanvir,0.3
Umar Akmal,RS Bopara,0.125
RS Bopara,Umar Akmal,0.1
Umar Akmal,Sohail Khan,0.25
Sohail Khan,Umar Akmal,0.3333333333333333
Umar Akmal,Usama Mir,0.25
Usama Mir,Umar Akmal,0.375
Umar Akmal,Usman Shinwari,0.25
Usman Shinwari,Umar Akmal,0.375
EJG Morgan,Hassan Khan,0.16666666666666666
Hassan Khan,EJG Morgan,0.1
EJG Morgan,RR Rossouw,0.16666666666666666
RR Rossouw,EJG Morgan,0.1111111111111111
