Player1,Player2,Matches
Fakhar Zaman,Mohammad Hafeez,0.015873015873015872
Mohammad Hafeez,Fakhar Zaman,0.014084507042253521
Fakhar Zaman,Shahid Afridi,0.06349206349206349
Shahid Afridi,Fakhar Zaman,0.09433962264150944
Fakhar Zaman,Wahab Riaz,0.06349206349206349
Wahab Riaz,Fakhar Zaman,0.06493506493506493
GD Elliott,Hasan Ali,0.15384615384615385
Hasan Ali,GD Elliott,0.046875
GD Elliott,Mohammad Hafeez,0.07692307692307693
Mohammad Hafeez,GD Elliott,0.014084507042253521
JJ Roy,Hasan Ali,0.09523809523809523
Hasan Ali,JJ Roy,0.046875
JJ Roy,Mohammad Asghar,0.047619047619047616
Mohammad Asghar,JJ Roy,0.047619047619047616
Mohammad Irfan (4),CJ Jordan,0.05
CJ Jordan,Mohammad Irfan (4),0.037037037037037035
Mohammad Rizwan,Hasan Ali,0.06896551724137931
Hasan Ali,Mohammad Rizwan,0.078125
Mohammad Rizwan,Wahab Riaz,0.08620689655172414
Wahab Riaz,Mohammad Rizwan,0.07792207792207792
SP Narine,Mohammad Hafeez,0.17647058823529413
Mohammad Hafeez,SP Narine,0.028169014084507043
SP Narine,Wahab Riaz,0.11764705882352941
Wahab Riaz,SP Narine,0.03896103896103896
Sohail Tanvir,Mohammad Hafeez,0.06666666666666667
Mohammad Hafeez,Sohail Tanvir,0.04225352112676056
Sohail Tanvir,Wahab Riaz,0.08333333333333333
Wahab Riaz,Sohail Tanvir,0.07792207792207792
Umar Akmal,Hasan Ali,0.08108108108108109
Hasan Ali,Umar Akmal,0.0625
Ahmed Shehzad,Mohammad Irfan,0.045454545454545456
Mohammad Irfan,Ahmed Shehzad,0.057692307692307696
Ahmed Shehzad,Mohammad Sami,0.09090909090909091
Mohammad Sami,Ahmed Shehzad,0.1388888888888889
Ahmed Shehzad,Rumman Raees,0.045454545454545456
Rumman Raees,Ahmed Shehzad,0.07894736842105263
Asad Shafiq,Mohammad Irfan,0.058823529411764705
Mohammad Irfan,Asad Shafiq,0.019230769230769232
Asad Shafiq,Mohammad Sami,0.058823529411764705
Mohammad Sami,Asad Shafiq,0.027777777777777776
Asad Shafiq,Rumman Raees,0.058823529411764705
Rumman Raees,Asad Shafiq,0.02631578947368421
Asad Shafiq,SR Watson,0.058823529411764705
SR Watson,Asad Shafiq,0.021739130434782608
Asad Shafiq,Shadab Khan,0.058823529411764705
Shadab Khan,Asad Shafiq,0.01639344262295082
Asad Shafiq,Zohaib Khan,0.058823529411764705
Zohaib Khan,Asad Shafiq,0.125
KP Pietersen,Mohammad Sami,0.07407407407407407
Mohammad Sami,KP Pietersen,0.08333333333333333
Mahmudullah,Mohammad Irfan,0.2222222222222222
Mohammad Irfan,Mahmudullah,0.057692307692307696
Mahmudullah,Mohammad Sami,0.1111111111111111
Mohammad Sami,Mahmudullah,0.027777777777777776
Mahmudullah,Rumman Raees,0.1111111111111111
Rumman Raees,Mahmudullah,0.02631578947368421
Mahmudullah,SR Watson,0.1111111111111111
SR Watson,Mahmudullah,0.021739130434782608
Mahmudullah,Shadab Khan,0.1111111111111111
Shadab Khan,Mahmudullah,0.01639344262295082
NLTC Perera,Mohammad Sami,0.1
Mohammad Sami,NLTC Perera,0.027777777777777776
NLTC Perera,Rumman Raees,0.1
Rumman Raees,NLTC Perera,0.02631578947368421
NLTC Perera,SR Watson,0.1
SR Watson,NLTC Perera,0.021739130434782608
RR Rossouw,Mohammad Irfan,0.06349206349206349
Mohammad Irfan,RR Rossouw,0.09615384615384616
RR Rossouw,Mohammad Sami,0.031746031746031744
Mohammad Sami,RR Rossouw,0.08333333333333333
RR Rossouw,SR Watson,0.015873015873015872
SR Watson,RR Rossouw,0.021739130434782608
RR Rossouw,Shadab Khan,0.09523809523809523
Shadab Khan,RR Rossouw,0.11475409836065574
Sarfraz Ahmed,Rumman Raees,0.013888888888888888
Rumman Raees,Sarfraz Ahmed,0.02631578947368421
Sarfraz Ahmed,SR Watson,0.013888888888888888
SR Watson,Sarfraz Ahmed,0.021739130434782608
Sarfraz Ahmed,Shadab Khan,0.05555555555555555
Shadab Khan,Sarfraz Ahmed,0.08196721311475409
Sarfraz Ahmed,Zohaib Khan,0.013888888888888888
Zohaib Khan,Sarfraz Ahmed,0.125
BB McCullum,Imad Wasim,0.1111111111111111
Imad Wasim,BB McCullum,0.04477611940298507
BB McCullum,Mohammad Amir,0.1111111111111111
Mohammad Amir,BB McCullum,0.05172413793103448
Fakhar Zaman,Imad Wasim,0.07936507936507936
Imad Wasim,Fakhar Zaman,0.08955223880597014
Fakhar Zaman,Mohammad Amir,0.09523809523809523
Mohammad Amir,Fakhar Zaman,0.1206896551724138
Fakhar Zaman,RS Bopara,0.015873015873015872
RS Bopara,Fakhar Zaman,0.02631578947368421
Fakhar Zaman,Sohail Khan,0.06349206349206349
Sohail Khan,Fakhar Zaman,0.12195121951219512
Fakhar Zaman,Usama Mir,0.015873015873015872
Usama Mir,Fakhar Zaman,0.05
Fakhar Zaman,Usman Shinwari,0.047619047619047616
Usman Shinwari,Fakhar Zaman,0.10526315789473684
GD Elliott,Imad Wasim,0.23076923076923078
Imad Wasim,GD Elliott,0.029850746268656716
GD Elliott,Mohammad Amir,0.07692307692307693
Mohammad Amir,GD Elliott,0.017241379310344827
GD Elliott,Sohail Khan,0.07692307692307693
Sohail Khan,GD Elliott,0.024390243902439025
GD Elliott,Usama Mir,0.15384615384615385
Usama Mir,GD Elliott,0.15
GD Elliott,Usman Shinwari,0.07692307692307693
Usman Shinwari,GD Elliott,0.02631578947368421
JJ Roy,Imad Wasim,0.09523809523809523
Imad Wasim,JJ Roy,0.04477611940298507
JJ Roy,Mohammad Amir,0.047619047619047616
Mohammad Amir,JJ Roy,0.017241379310344827
JJ Roy,Sohail Khan,0.047619047619047616
Sohail Khan,JJ Roy,0.024390243902439025
JJ Roy,Usman Shinwari,0.09523809523809523
Usman Shinwari,JJ Roy,0.07894736842105263
Mohammad Irfan (4),Mohammad Amir,0.05
Mohammad Amir,Mohammad Irfan (4),0.017241379310344827
Mohammad Rizwan,Imad Wasim,0.06896551724137931
Imad Wasim,Mohammad Rizwan,0.07462686567164178
Mohammad Rizwan,Mohammad Amir,0.08620689655172414
Mohammad Amir,Mohammad Rizwan,0.10344827586206896
Mohammad Rizwan,RS Bopara,0.034482758620689655
RS Bopara,Mohammad Rizwan,0.07894736842105263
Mohammad Rizwan,Sohail Khan,0.034482758620689655
Sohail Khan,Mohammad Rizwan,0.07317073170731707
Mohammad Rizwan,Usama Mir,0.034482758620689655
Usama Mir,Mohammad Rizwan,0.15
Mohammad Rizwan,Usman Shinwari,0.05172413793103448
Usman Shinwari,Mohammad Rizwan,0.10526315789473684
SP Narine,Mohammad Amir,0.058823529411764705
Mohammad Amir,SP Narine,0.017241379310344827
SP Narine,Sohail Khan,0.058823529411764705
Sohail Khan,SP Narine,0.024390243902439025
SP Narine,Usman Shinwari,0.058823529411764705
Usman Shinwari,SP Narine,0.02631578947368421
Sohail Tanvir,Mohammad Amir,0.08333333333333333
Mohammad Amir,Sohail Tanvir,0.10344827586206896
Umar Akmal,RS Bopara,0.02702702702702703
RS Bopara,Umar Akmal,0.02631578947368421
Umar Akmal,Sohail Khan,0.08108108108108109
Sohail Khan,Umar Akmal,0.0975609756097561
Umar Akmal,Usama Mir,0.05405405405405406
Usama Mir,Umar Akmal,0.15
Umar Akmal,Usman Shinwari,0.05405405405405406
Usman Shinwari,Umar Akmal,0.07894736842105263
EJG Morgan,Hassan Khan,0.1111111111111111
Hassan Khan,EJG Morgan,0.03571428571428571
EJG Morgan,RR Rossouw,0.1111111111111111
RR Rossouw,EJG Morgan,0.015873015873015872
Kamran Akmal,Hassan Khan,0.02666666666666667
Hassan Khan,Kamran Akmal,0.10714285714285714
Mohammad Hafeez,Anwar Ali,0.056338028169014086
Anwar Ali,Mohammad Hafeez,0.125
Mohammad Hafeez,Mahmudullah,0.028169014084507043
Mahmudullah,Mohammad Hafeez,0.3333333333333333
Mohammad Hafeez,Mohammad Nawaz,0.08450704225352113
Mohammad Nawaz,Mohammad Hafeez,0.10606060606060606
Mohammad Hafeez,Zulfiqar Babar,0.04225352112676056
Zulfiqar Babar,Mohammad Hafeez,0.2222222222222222
Sohaib Maqsood,Anwar Ali,0.047619047619047616
Anwar Ali,Sohaib Maqsood,0.075
Sohaib Maqsood,Hassan Khan,0.047619047619047616
Hassan Khan,Sohaib Maqsood,0.10714285714285714
Sohaib Maqsood,Mahmudullah,0.023809523809523808
Mahmudullah,Sohaib Maqsood,0.1111111111111111
Sohaib Maqsood,Mohammad Nawaz,0.11904761904761904
Mohammad Nawaz,Sohaib Maqsood,0.09090909090909091
Sohaib Maqsood,NLTC Perera,0.023809523809523808
NLTC Perera,Sohaib Maqsood,0.1
Sohaib Maqsood,RR Rossouw,0.023809523809523808
RR Rossouw,Sohaib Maqsood,0.015873015873015872
Sohaib Maqsood,Zulfiqar Babar,0.023809523809523808
Zulfiqar Babar,Sohaib Maqsood,0.05555555555555555
Tamim Iqbal,Anwar Ali,0.1
Anwar Ali,Tamim Iqbal,0.075
Tamim Iqbal,Hassan Khan,0.1
Hassan Khan,Tamim Iqbal,0.10714285714285714
Tamim Iqbal,Mahmudullah,0.1
Mahmudullah,Tamim Iqbal,0.3333333333333333
Tamim Iqbal,Mohammad Nawaz,0.15
Mohammad Nawaz,Tamim Iqbal,0.06060606060606061
Tamim Iqbal,NLTC Perera,0.05
NLTC Perera,Tamim Iqbal,0.1
Tamim Iqbal,RR Rossouw,0.05
RR Rossouw,Tamim Iqbal,0.015873015873015872
Tamim Iqbal,Zulfiqar Babar,0.1
Zulfiqar Babar,Tamim Iqbal,0.16666666666666666
Asif Ali,Usman Shinwari,0.029850746268656716
Usman Shinwari,Asif Ali,0.07894736842105263
BJ Haddin,Imad Wasim,0.058823529411764705
Imad Wasim,BJ Haddin,0.014925373134328358
BJ Haddin,Mohammad Amir,0.11764705882352941
Mohammad Amir,BJ Haddin,0.05172413793103448
DR Smith,Imad Wasim,0.14285714285714285
Imad Wasim,DR Smith,0.07462686567164178
DR Smith,Kashif Bhatti,0.03571428571428571
Kashif Bhatti,DR Smith,1.0
DR Smith,Mohammad Amir,0.17857142857142858
Mohammad Amir,DR Smith,0.10344827586206896
DR Smith,Usama Mir,0.10714285714285714
Usama Mir,DR Smith,0.2
DR Smith,Usman Shinwari,0.10714285714285714
Usman Shinwari,DR Smith,0.10526315789473684
Imran Khalid,Mohammad Amir,0.16666666666666666
Mohammad Amir,Imran Khalid,0.05172413793103448
Misbah-ul-Haq,Imad Wasim,0.034482758620689655
Imad Wasim,Misbah-ul-Haq,0.014925373134328358
Misbah-ul-Haq,Kashif Bhatti,0.034482758620689655
Kashif Bhatti,Misbah-ul-Haq,1.0
Misbah-ul-Haq,Mohammad Amir,0.06896551724137931
Mohammad Amir,Misbah-ul-Haq,0.05172413793103448
Misbah-ul-Haq,Usama Mir,0.034482758620689655
Usama Mir,Misbah-ul-Haq,0.05
Misbah-ul-Haq,Usman Shinwari,0.10344827586206896
Usman Shinwari,Misbah-ul-Haq,0.10526315789473684
Mohammad Sami,Usman Shinwari,0.08333333333333333
Usman Shinwari,Mohammad Sami,0.05263157894736842
SR Watson,Mohammad Amir,0.08695652173913043
Mohammad Amir,SR Watson,0.08620689655172414
SR Watson,Usama Mir,0.043478260869565216
Usama Mir,SR Watson,0.15
SR Watson,Usman Shinwari,0.043478260869565216
Usman Shinwari,SR Watson,0.07894736842105263
SW Billings,Imad Wasim,0.1
Imad Wasim,SW Billings,0.014925373134328358
Shadab Khan,Usman Shinwari,0.04918032786885246
Usman Shinwari,Shadab Khan,0.10526315789473684
CS Delport,Anwar Ali,0.07692307692307693
Anwar Ali,CS Delport,0.1
CS Delport,Mahmudullah,0.02564102564102564
Mahmudullah,CS Delport,0.1111111111111111
CS Delport,Mohammad Nawaz,0.1282051282051282
Mohammad Nawaz,CS Delport,0.09090909090909091
CS Delport,NLTC Perera,0.02564102564102564
NLTC Perera,CS Delport,0.1
CS Delport,Zulfiqar Babar,0.05128205128205128
Zulfiqar Babar,CS Delport,0.16666666666666666
Fakhar Zaman,Anwar Ali,0.047619047619047616
Anwar Ali,Fakhar Zaman,0.1
Fakhar Zaman,Hassan Khan,0.031746031746031744
Hassan Khan,Fakhar Zaman,0.10714285714285714
Fakhar Zaman,Mahmudullah,0.015873015873015872
Mahmudullah,Fakhar Zaman,0.1111111111111111
Fakhar Zaman,Mohammad Nawaz,0.07936507936507936
Mohammad Nawaz,Fakhar Zaman,0.09090909090909091
Fakhar Zaman,NLTC Perera,0.015873015873015872
NLTC Perera,Fakhar Zaman,0.1
Fakhar Zaman,Zulfiqar Babar,0.015873015873015872
Zulfiqar Babar,Fakhar Zaman,0.05555555555555555
JJ Roy,Anwar Ali,0.047619047619047616
Anwar Ali,JJ Roy,0.025
JJ Roy,Hassan Khan,0.047619047619047616
Hassan Khan,JJ Roy,0.03571428571428571
JJ Roy,Mohammad Nawaz,0.047619047619047616
Mohammad Nawaz,JJ Roy,0.015151515151515152
JJ Roy,NLTC Perera,0.047619047619047616
NLTC Perera,JJ Roy,0.1
JJ Roy,Zulfiqar Babar,0.047619047619047616
Zulfiqar Babar,JJ Roy,0.05555555555555555
Mohammad Rizwan,Anwar Ali,0.017241379310344827
Anwar Ali,Mohammad Rizwan,0.025
Mohammad Rizwan,Hassan Khan,0.017241379310344827
Hassan Khan,Mohammad Rizwan,0.03571428571428571
Mohammad Rizwan,Mahmudullah,0.017241379310344827
Mahmudullah,Mohammad Rizwan,0.1111111111111111
Mohammad Rizwan,Mohammad Nawaz,0.034482758620689655
Mohammad Nawaz,Mohammad Rizwan,0.045454545454545456
Mohammad Rizwan,NLTC Perera,0.034482758620689655
NLTC Perera,Mohammad Rizwan,0.3
Mohammad Rizwan,Zulfiqar Babar,0.017241379310344827
Zulfiqar Babar,Mohammad Rizwan,0.05555555555555555
Umar Akmal,Hassan Khan,0.05405405405405406
Hassan Khan,Umar Akmal,0.10714285714285714
Umar Akmal,Mahmudullah,0.02702702702702703
Mahmudullah,Umar Akmal,0.1111111111111111
Umar Akmal,Zulfiqar Babar,0.08108108108108109
Zulfiqar Babar,Umar Akmal,0.2222222222222222
DJG Sammy,Amad Butt,0.02040816326530612
Amad Butt,DJG Sammy,0.045454545454545456
